year,avg_temp,50 years MA (Riyadh),avg_temp(Global),50 years MA (Global),
1843,24.74,,8.17,,
1844,15.45,,7.65,,
1845,20.82,,7.85,,
1846,,,8.55,,
1847,,,8.09,,
1848,24.56,,7.98,,
1849,24.8,,7.98,,
1850,24.34,,7.9,,
1851,25.03,,8.18,,
1852,24.85,,8.1,,
1853,24.93,,8.04,,
1854,24.72,,8.21,,
1855,24.92,,8.11,,
1856,24.57,,8,,
1857,24.26,,7.76,,
1858,25.01,,8.1,,
1859,24.95,,8.25,,
1860,24.94,,7.96,,
1861,24.13,,7.85,,
1862,23.77,,7.56,,
1863,24.28,,8.11,,
1864,25.03,,7.98,,
1865,25.23,,8.18,,
1866,24.92,,8.29,,
1867,25.22,,8.44,,
1868,25,,8.25,,
1869,25.3,,8.43,,
1870,25.02,,8.2,,
1871,24.73,,8.12,,
1872,24.87,,8.19,,
1873,25.24,,8.35,,
1874,24.98,,8.43,,
1875,24.43,,7.86,,
1876,24.89,,8.08,,
1877,25.47,,8.54,,
1878,25.51,,8.83,,
1879,25.24,,8.17,,
1880,24.8,,8.12,,
1881,25.63,,8.27,,
1882,24.66,,8.13,,
1883,25.19,,7.98,,
1884,24.8,,7.77,,
1885,24.98,,7.92,,
1886,24.98,,7.95,,
1887,24.81,,7.91,,
1888,25.13,,8.09,,
1889,25.52,,8.32,,
1890,25.07,,7.97,,
1891,25.39,,8.02,,
1892,25.22,,8.07,,
1893,25.19,24.64,8.06,8.10,
1894,24.66,24.64,8.16,8.10,
1895,24.69,24.83,8.15,8.11,
1896,24.88,24.91,8.21,8.12,
1897,24.86,24.91,8.29,8.12,
1898,24.88,24.91,8.18,8.12,
1899,25.12,24.92,8.4,8.13,
1900,25.29,24.93,8.5,8.14,
1901,25.55,24.96,8.54,8.15,
1902,25.25,24.96,8.3,8.15,
1903,24.64,24.96,8.22,8.15,
1904,25.07,24.96,8.09,8.15,
1905,24.87,24.96,8.23,8.15,
1906,24.85,24.96,8.38,8.16,
1907,24.44,24.96,7.95,8.16,
1908,24.95,24.97,8.19,8.17,
1909,25.57,24.98,8.18,8.17,
1910,24.75,24.98,8.22,8.17,
1911,24.24,24.96,8.18,8.17,
1912,24.96,24.98,8.17,8.18,
1913,24.63,25.00,8.3,8.19,
1914,24.94,25.01,8.59,8.20,
1915,25.38,25.02,8.59,8.21,
1916,24.85,25.01,8.23,8.22,
1917,25.03,25.01,8.02,8.21,
1918,24.66,25.00,8.13,8.20,
1919,25.39,25.01,8.38,8.21,
1920,24.94,25.00,8.36,8.21,
1921,24.84,25.00,8.57,8.21,
1922,25.35,25.01,8.41,8.22,
1923,25.1,25.01,8.42,8.22,
1924,25.69,25.02,8.51,8.23,
1925,25,25.02,8.53,8.23,
1926,25.19,25.04,8.73,8.25,
1927,25.29,25.05,8.52,8.25,
1928,25.39,25.05,8.63,8.26,
1929,25.36,25.04,8.24,8.24,
1930,25.39,25.05,8.63,8.25,
1931,25.38,25.06,8.72,8.26,
1932,24.96,25.04,8.71,8.27,
1933,24.67,25.04,8.34,8.28,
1934,24.97,25.04,8.63,8.29,
1935,25.61,25.06,8.52,8.31,
1936,25.15,25.06,8.55,8.32,
1937,25.08,25.06,8.7,8.33,
1938,25.11,25.07,8.86,8.35,
1939,25.16,25.07,8.76,8.36,
1940,25.51,25.07,8.76,8.37,
1941,25.37,25.07,8.77,8.39,
1942,25.49,25.07,8.73,8.40,
1943,24.96,25.07,8.76,8.42,
1944,25.6,25.08,8.85,8.43,
1945,25.3,25.09,8.58,8.44,
1946,25.49,25.11,8.68,8.45,
1947,26,25.13,8.8,8.46,
1948,24.85,25.13,8.75,8.47,
1949,24.82,25.13,8.59,8.48,
1950,24.98,25.12,8.37,8.48,
1951,26.1,25.14,8.63,8.48,
1952,25.72,25.14,8.64,8.48,
1953,25.51,25.15,8.87,8.49,
1954,25.8,25.17,8.56,8.50,
1955,25.33,25.18,8.63,8.51,
1956,25.02,25.18,8.28,8.51,
1957,24.69,25.18,8.73,8.52,
1958,25.64,25.20,8.77,8.53,
1959,24.14,25.18,8.73,8.55,
1960,25.67,25.19,8.58,8.55,
1961,25.12,25.19,8.8,8.56,
1962,26.1,25.23,8.75,8.58,
1963,25.54,25.24,8.86,8.59,
1964,25.14,25.25,8.41,8.59,
1965,25.59,25.26,8.53,8.59,
1966,26.16,25.28,8.6,8.59,
1967,24.87,25.28,8.7,8.60,
1968,25.21,25.28,8.52,8.61,
